date,underlying_pct,boc,resid,composition_pct,raw_mean_pct,n_obs_curr,n_obs_base
2021-01-01,2.823643449643587,2.7,0.12364344964358676,3.9761041222013738,6.87224707955032,38720,49391
2021-02-01,2.804414944982625,2.7,0.10441494498262482,3.0665339815513226,5.944775665094815,40180,49942
2021-03-01,2.6573343081337075,2.6,0.057334308133707435,-0.0840975476920524,2.610071857204721,41130,44131
2021-04-01,2.153178178066684,2.0,0.1531781780666841,-3.272415826000008,-1.2401615492719786,41794,37425
2021-05-01,1.811815955384444,1.8,0.01181595538444391,-3.1208922826875707,-1.339948419668591,42780,39135
2021-06-01,1.6619256661810633,1.7,-0.038074333818936656,-1.4479790497770928,0.2031834030322921,43646,41324
2021-07-01,1.9772100627892584,2.0,-0.02278993721074163,-0.6637023475668746,1.345084355950199,42582,40614
2021-08-01,2.0826366075015867,2.1,-0.017363392498413344,-0.4668615017891508,1.7053996462026877,42968,40781
2021-09-01,2.609131398327702,2.6,0.009131398327701934,0.0175440775700863,2.6067187524370983,42992,41647
2021-10-01,2.5045802191842714,2.5,0.004580219184271428,-0.3535965080734171,2.179318501237071,43219,41162
2021-11-01,2.808761059460973,2.8,0.008761059460973275,-0.2760632591640943,2.628120579849913,44640,40556
2021-12-01,3.242185932514352,3.2,0.042185932514351876,-0.4473029685546414,2.8506118826244986,45974,39477
2022-01-01,3.191861733466528,3.2,-0.008138266533472382,-0.7279253201686431,2.4512440910371858,47254,38720
2022-02-01,3.1018460678887694,3.1,0.0018460678887692872,-0.5136663759565341,2.5763336426525507,51574,40153
2022-03-01,3.089019996066789,3.1,-0.01098000393321108,-0.190104129500479,3.007869153211096,53793,41130
2022-04-01,3.646939657445025,3.7,-0.05306034255497538,-0.4797650518586493,3.149919125661693,56136,41794
2022-05-01,3.806060518491994,3.8,0.00606051849199396,-0.3189507186801665,3.4424661736925044,57233,42780
2022-06-01,4.07412477621345,4.1,-0.025875223786549384,0.7344891499501793,4.864045511368875,58117,43646
2022-07-01,4.1562444186920455,4.1,0.05624441869204588,0.4286607496478911,4.546225848899543,57207,42582
2022-08-01,4.465849060134985,4.4,0.06584906013498504,0.7695329446914423,5.278040546828322,56934,42968
2022-09-01,4.159596858788994,4.1,0.05959685878899457,0.7565666123515502,4.962021321872179,56278,42992
2022-10-01,4.362464097639829,4.3,0.062464097639828964,0.9623489169300335,5.406218720916645,56273,43219
2022-11-01,4.915279125787175,4.8,0.11527912578717547,0.8333162938567895,5.814327394976293,55566,44640
2022-12-01,4.431500931020116,4.3,0.13150093102011606,0.566356715545635,5.07596679992155,55835,45974
2023-01-01,4.467810913709336,4.4,0.06781091370933545,-0.0332067815561609,4.4986248912547655,54207,47254
2023-02-01,4.75659749597932,4.7,0.056597495979319845,0.5448323236012076,5.39919828665818,52781,51602
